tweet_id,retweet_count,favorite_count 
766008592277377025,536,3973
765719909049503744,2331,7682
765669560888528897,1322,5511
765395769549590528,3676,28039
765371061932261376,2337,7522
765222098633691136,3669,12317
764857477905154048,1919,6819
764259802650378240,1641,6422
763956972077010945,59,786
763837565564780549,4522,13358
763183847194451968,1594,5729
763167063695355904,3264,0
763103485927849985,2468,7805
762699858130116608,3926,12886
762471784394268675,7007,11953
762464539388485633,4549,10929
762316489655476224,1221,5107
762035686371364864,16881,33904
761976711479193600,2188,5717
761750502866649088,4261,0
761745352076779520,931,4507
761672994376806400,31418,52506
761599872357261312,1270,4370
761371037149827077,19432,0
761334018830917632,1569,5504
761292947749015552,1187,4729
761227390836215808,1682,5622
761004547850530816,3753,11976
760893934457552897,1052,4041
760656994973933572,2083,6994
760641137271070720,1398,5246
760539183865880579,3927,8023
760521673607086080,1512,4471
760290219849637889,12421,28399
760252756032651264,933,4174
760190180481531904,1956,6028
760153949710192640,34,0
759943073749200896,2260,6282
759923798737051648,6131,15544
759846353224826880,2144,7115
759793422261743616,2053,6303
759566828574212096,22826,0
759557299618865152,1267,4973
759447681597108224,2648,8977
759446261539934208,525,1770
759197388317847553,2103,6400
759159934323924993,1257,0
759099523532779520,4516,15375
759047813560868866,2181,6889
758854675097526272,966,3756
758828659922702336,4143,11813
758740312047005698,1731,6059
758474966123810816,1072,4048
758467244762497024,2409,5086
758405701903519748,2083,5500
758355060040593408,1171,3624
758099635764359168,10890,20302
758041019896193024,404,2862
757741869644341248,3515,7277
757729163776290825,8752,0
757725642876129280,1313,4802
757611664640446465,1207,4823
757597904299253760,314,0
757596066325864448,1142,4598
757400162377592832,7386,16017
757393109802180609,1887,6169
757354760399941633,1537,4772
756998049151549440,2142,6626
756939218950160384,2169,7037
756651752796094464,1413,5353
756526248105566208,3902,10979
756303284449767430,1169,4172
756288534030475264,18855,45250
756275833623502848,1642,6797
755955933503782912,3122,7754
755206590534418437,5811,17394
755110668769038337,11963,22429
754874841593970688,8630,0
754856583969079297,2725,7264
754747087846248448,564,2722
754482103782404096,2103,5609
754449512966619136,792,3952
754120377874386944,2524,8274
753655901052166144,2346,6165
753420520834629632,3848,8374
753398408988139520,2074,6106
753375668877008896,2512,8051
753298634498793472,6216,0
753294487569522689,1125,3584
753039830821511168,22589,39202
753026973505581056,1052,4106
752932432744185856,7365,13337
752917284578922496,1699,7284
752701944171524096,3116,0
752682090207055872,1730,6316
752660715232722944,1702,4659
752568224206688256,2462,5830
752519690950500352,3714,7787
752334515931054080,1187,4028
752309394570878976,17994,0
752173152931807232,1990,6275
751950017322246144,1002,3244
751937170840121344,1450,5501
751830394383790080,2113,6116
751793661361422336,3137,6187
751598357617971201,3276,8336
751583847268179968,1197,4646
751538714308972544,1363,5312
751456908746354688,1076,3377
751251247299190784,6317,13188
751205363882532864,1968,6652
751132876104687617,1400,5361
750868782890057730,1493,5034
750719632563142656,5424,13922
750506206503038976,1241,4683
750429297815552001,4634,13889
750383411068534784,1224,4801
750381685133418496,31,729
750147208377409536,1037,3269
750132105863102464,1371,3824
750117059602808832,1403,4567
750101899009982464,907,3197
750086836815486976,588,2288
750071704093859840,3596,8295
750056684286914561,962,3308
750041628174217216,666,3344
750026558547456000,847,2859
750011400160841729,975,3421
749996283729883136,872,3201
749981277374128128,2637,5379
749774190421639168,1410,4893
749417653287129088,1789,6419
749403093750648834,587,2768
749395845976588288,3725,9062
749317047558017024,2379,5773
749075273010798592,2225,6063
749064354620928000,1624,5046
749036806121881602,841,3264
748977405889503236,3651,11281
748932637671223296,2425,6152
748705597323898880,1020,2912
748699167502000129,1716,4983
748692773788876800,1426,4461
748575535303884801,2135,6386
748568946752774144,720,2298
748346686624440324,1333,5500
748337862848962560,4424,8107
748324050481647620,821,3892
748307329658011649,764,3852
748220828303695873,8366,14879
747963614829678593,2303,6083
747933425676525569,2737,6966
747885874273214464,1058,3102
